timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784784322654,14,HTTP Request - EasyCalculation,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (easycalculation.com),Non GUI Test Cases Using csv File 1-1,text,false,,2534,0,1,1,https://easycalculation.com/index.php,0,0,14
1784784322672,2,HTTP Request - Demo Blaze,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (demoblaze.com),Non GUI Test Cases Using csv File 1-1,text,false,,2528,0,1,1,https://demoblaze.com/prod.html?idp_=8,0,0,2
1784784322675,1,HTTP Request - Selenium,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (selenium.dev),Non GUI Test Cases Using csv File 1-1,text,false,,2527,0,1,1,https://selenium.dev/documentation/,0,0,0
1784784322678,0,HTTP Request - Practice Test Automation,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (practicetestautomation.com),Non GUI Test Cases Using csv File 1-1,text,false,,2541,0,1,1,https://practicetestautomation.com/contact/,0,0,0
1784784322680,1,HTTP Request - Jmeter,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (jmeter.apache.org),Non GUI Test Cases Using csv File 1-1,text,false,,2532,0,1,1,https://jmeter.apache.org/usermanual/index.html,0,0,1
1784784322682,0,HTTP Request - TestNG,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (testng.org),Non GUI Test Cases Using csv File 1-1,text,false,,2525,0,1,1,https://testng.org/#_testng_documentation,0,0,0
1784784322684,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,Non GUI Test Cases Using csv File 1-1,text,false,,1122,0,1,1,http:/,0,0,0
1784784322684,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,Non GUI Test Cases Using csv File 1-1,text,false,,1122,0,1,1,http:/,0,0,0
1784784322685,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,Non GUI Test Cases Using csv File 1-1,text,false,,1122,0,1,1,http:/,0,0,0
1784784322685,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,Non GUI Test Cases Using csv File 1-1,text,false,,1122,0,1,1,http:/,0,0,0
1784784322686,1,HTTP Request - EasyCalculation,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: easycalculation.com,Non GUI Test Cases Using csv File 1-1,text,false,,2166,0,1,1,https://easycalculation.com/index.php,0,0,0
1784784322687,0,HTTP Request - Demo Blaze,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: demoblaze.com,Non GUI Test Cases Using csv File 1-1,text,false,,2160,0,1,1,https://demoblaze.com/prod.html?idp_=8,0,0,0
1784784322688,0,HTTP Request - Selenium,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: selenium.dev,Non GUI Test Cases Using csv File 1-1,text,false,,2159,0,1,1,https://selenium.dev/documentation/,0,0,0
